Order_ID,Order_Date,City,Category,Price,Quantity,Discount,Payment_Method,Delivery_Time_Min,Delivery_Partner_Rating,Customer_Rating,Order_Status,Received Amount
1001,2024-06-29,Pune,Dairy,141,3,20,UPI,26,3.02,3.78,Returned,121
1002,2024-06-03,Mumbai,Dairy,183,5,20,Card,20,3.19,4.97,Delivered,163
1003,2024-07-19,Pune,Vegetables,72,2,2,UPI,27,4.18,3.14,Delivered,70
1004,2024-08-20,Indore,Fruits,166,2,6,UPI,27,3.2,3.15,Delivered,160
1005,2024-09-15,Indore,Vegetables,179,4,1,Wallet,14,3.3,2.82,Delivered,178
1006,2024-03-12,Jaipur,Beverages,176,3,16,UPI,27,4.03,4.66,Cancelled,160
1007,2024-08-09,Mumbai,Bakery,60,1,18,Cash,13,3.86,4.9,Returned,42
1008,2024-01-15,Mumbai,Vegetables,180,1,14,Cash,10,4.49,3.31,Returned,166
1009,2024-06-02,Bhopal,Beverages,184,5,6,Card,16,4.07,2.7,Delivered,178
1010,2024-02-21,Delhi,Dairy,107,1,4,Card,22,3.41,3.4,Cancelled,103
1011,2024-06-20,Delhi,Dairy,32,4,3,Cash,30,4.45,4.58,Returned,29
1012,2024-04-15,Pune,Bakery,101,2,10,Wallet,15,3.09,4.23,Cancelled,91
1013,2024-12-21,Mumbai,Beverages,58,3,19,Cash,30,3.91,4.08,Returned,39
1014,2024-02-17,Bhopal,Bakery,194,5,14,Wallet,8,3.38,4.22,Delivered,180
1015,2024-01-05,Bhopal,Bakery,183,4,18,Card,11,3.37,3.4,Cancelled,165
1016,2024-03-16,Indore,Dairy,162,5,17,Card,15,4.03,3.22,Delivered,145
1017,2024-06-18,Delhi,Beverages,33,2,20,Card,9,3.65,2.9,Returned,13
1018,2024-12-20,Delhi,Vegetables,24,1,2,Card,21,4.72,3.75,Delivered,22
1019,2024-01-04,Mumbai,Dairy,107,2,9,Cash,16,3.65,3.33,Cancelled,98
1020,2024-10-31,Delhi,Dairy,21,2,5,UPI,13,3.36,3.28,Cancelled,16
1021,2024-03-20,Delhi,Fruits,140,3,18,Cash,8,4.41,4.59,Returned,122
1022,2024-05-11,Bhopal,Beverages,83,1,18,Cash,26,3.21,3.54,Delivered,65
1023,2024-09-24,Indore,Beverages,59,1,9,UPI,19,4.33,2.72,Cancelled,50
1024,2024-04-13,Mumbai,Dairy,29,2,13,Cash,23,3.76,4.1,Returned,16
1025,2024-01-04,Mumbai,Fruits,171,2,8,UPI,23,4.24,3.54,Delivered,163
1026,2024-08-02,Pune,Dairy,170,1,0,UPI,13,3.53,3.23,Delivered,170
1027,2024-11-03,Delhi,Snacks,115,5,1,Cash,11,3.32,4.58,Delivered,114
1028,2024-07-30,Jaipur,Bakery,51,5,1,Cash,15,4.49,2.88,Returned,50
